Author,Title,Genres
Rebecca Yarros,Fourth Wing,"Fantasy, Romance"
Paul Murray,The Bee Sting,Literary Fiction
Nathan Hill,Wellness: A Novel,Literary Fiction
Britney Spears,The Woman in Me,Memoir
Jessica Knoll,Bright Young Women,Thriller
Monica Youn,From From: Poems,Poetry
Esau McCaulley,How Far to the Promised Land,"Non-fiction, Biography"
Suzanne Enoch,Every Duke Has His Day,Historical Romance
Lavie Tidhar,The Circumference of the World,Science Fiction
Andrew Leland,The Country of the Blind,Memoir
Michael Finkel,The Art Thief,True Crime
Daniel Clowes,Monica,Graphic Novel
Andr??s Neuman,Bariloche,Fiction
Alaa Al Aswany,The Republic of False Truths,Historical Fiction
TJ Klune,In the Lives of Puppets,Fantasy
Heather Fawcett,Emily Wilde's Encyclopaedia of Faeries,Fantasy
Travis Baldree,Bookshops & Bonedust,Fantasy
Matthew Perry,"Friends, Lovers, and the Big Terrible Thing",Memoir
Liz Cheney,Oath and Honor,"Non-fiction, Politics"
Heather McGhee,The Sum of Us,"Non-fiction, Social Science"
